Run ID,Date,Figure Filenames,Description,Key Parameters,Full Param File,Code Version (Git SHA),Notes
sim_20251209_152442_3bb46,2025-12-09 15:24:42,figures/sim_20251209_152442_3bb46/nrmse_vs_delay_2025_12_09_152442.png; figures/sim_20251209_152442_3bb46/tac_grid_part1_2025_12_09_152442.png; figures/sim_20251209_152442_3bb46/tac_grid_part2_2025_12_09_152442.png; figures/sim_20251209_152442_3bb46/tac_grid_part3_2025_12_09_152442.png; figures/sim_20251209_152442_3bb46/tac_grid_part4_2025_12_09_152442.png; figures/sim_20251209_152442_3bb46/tac_grid_part5_2025_12_09_152442.png; figures/sim_20251209_152442_3bb46/fdg_aligned_true_2025_12_09_152442.png; figures/sim_20251209_152442_3bb46/fdg_aligned_estimated_2025_12_09_152442.png; figures/sim_20251209_152442_3bb46/gamma_library_2025_12_09_152442.png,Delay sweep for PBR28 and FDG with PBR scale 1.2 and FDG scale 1.0,"FDG/PBR, delay sweep, Feng AIF, frame_edges=0–120",params/sim_20251209_152442_3bb46.csv,134eb0904d6d791242d393ef2440beed0a19f403,"Testing new gamma basis library (version 3)
    - FDG scale = 1.0
    - PBR scale = 1.2
    - Delays: 0–50 min (1-min steps)
    Expect better unmixing around D ≈ 15 min"
sim_20251209_153505_8ea9a,2025-12-09 15:35:05,figures/sim_20251209_153505_8ea9a/nrmse_vs_delay_2025_12_09_153505.png; figures/sim_20251209_153505_8ea9a/tac_grid_part1_2025_12_09_153505.png; figures/sim_20251209_153505_8ea9a/tac_grid_part2_2025_12_09_153505.png; figures/sim_20251209_153505_8ea9a/tac_grid_part3_2025_12_09_153505.png; figures/sim_20251209_153505_8ea9a/tac_grid_part4_2025_12_09_153505.png; figures/sim_20251209_153505_8ea9a/tac_grid_part5_2025_12_09_153505.png; figures/sim_20251209_153505_8ea9a/fdg_aligned_true_2025_12_09_153505.png; figures/sim_20251209_153505_8ea9a/fdg_aligned_estimated_2025_12_09_153505.png; figures/sim_20251209_153505_8ea9a/gamma_library_2025_12_09_153505.png,Delay sweep for PBR28 and FDG with PBR scale 1.2 and FDG scale 1.0,"FDG/PBR, delay sweep, Feng AIF, frame_edges=0–120",params/sim_20251209_153505_8ea9a.csv,bc58e60844e5983f228ffb928db67d6d6ad3d0cd,"Testing new gamma basis library (version 3)
    - FDG scale = 1.0
    - PBR scale = 0.9
    - Delays: 0–50 min (1-min steps)
    Expect better unmixing around D ≈ 15 min"
sim_20251209_153912_35f83,2025-12-09 15:39:12,figures/sim_20251209_153912_35f83/nrmse_vs_delay_2025_12_09_153912.png; figures/sim_20251209_153912_35f83/tac_grid_part1_2025_12_09_153912.png; figures/sim_20251209_153912_35f83/tac_grid_part2_2025_12_09_153912.png; figures/sim_20251209_153912_35f83/tac_grid_part3_2025_12_09_153912.png; figures/sim_20251209_153912_35f83/tac_grid_part4_2025_12_09_153912.png; figures/sim_20251209_153912_35f83/tac_grid_part5_2025_12_09_153912.png; figures/sim_20251209_153912_35f83/fdg_aligned_true_2025_12_09_153912.png; figures/sim_20251209_153912_35f83/fdg_aligned_estimated_2025_12_09_153912.png; figures/sim_20251209_153912_35f83/gamma_library_2025_12_09_153912.png,Delay sweep for PBR28 and FDG with PBR scale 1.2 and FDG scale 1.0,"FDG/PBR, delay sweep, Feng AIF, frame_edges=0–120",params/sim_20251209_153912_35f83.csv,bc58e60844e5983f228ffb928db67d6d6ad3d0cd,"Testing new gamma basis library (version 3)
    - FDG scale = 1.0
    - PBR scale = 0.7
    - Delays: 0–50 min (1-min steps)
    Expect better unmixing around D ≈ 15 min"
sim_20251209_154014_1fb9a,2025-12-09 15:40:14,figures/sim_20251209_154014_1fb9a/nrmse_vs_delay_2025_12_09_154014.png; figures/sim_20251209_154014_1fb9a/tac_grid_part1_2025_12_09_154014.png; figures/sim_20251209_154014_1fb9a/tac_grid_part2_2025_12_09_154014.png; figures/sim_20251209_154014_1fb9a/tac_grid_part3_2025_12_09_154014.png; figures/sim_20251209_154014_1fb9a/tac_grid_part4_2025_12_09_154014.png; figures/sim_20251209_154014_1fb9a/tac_grid_part5_2025_12_09_154014.png; figures/sim_20251209_154014_1fb9a/fdg_aligned_true_2025_12_09_154014.png; figures/sim_20251209_154014_1fb9a/fdg_aligned_estimated_2025_12_09_154014.png; figures/sim_20251209_154014_1fb9a/gamma_library_2025_12_09_154014.png,Delay sweep for PBR28 and FDG with PBR scale 1.2 and FDG scale 1.0,"FDG/PBR, delay sweep, Feng AIF, frame_edges=0–120",params/sim_20251209_154014_1fb9a.csv,bc58e60844e5983f228ffb928db67d6d6ad3d0cd,"Testing new gamma basis library (version 3)
    - FDG scale = 1.0
    - PBR scale = 0.5
    - Delays: 0–50 min (1-min steps)
    Expect better unmixing around D ≈ 15 min"
sim_20251209_154240_7bcd4,2025-12-09 15:42:40,figures/sim_20251209_154240_7bcd4/nrmse_vs_delay_2025_12_09_154240.png; figures/sim_20251209_154240_7bcd4/tac_grid_part1_2025_12_09_154240.png; figures/sim_20251209_154240_7bcd4/tac_grid_part2_2025_12_09_154240.png; figures/sim_20251209_154240_7bcd4/tac_grid_part3_2025_12_09_154240.png; figures/sim_20251209_154240_7bcd4/tac_grid_part4_2025_12_09_154240.png; figures/sim_20251209_154240_7bcd4/tac_grid_part5_2025_12_09_154240.png; figures/sim_20251209_154240_7bcd4/fdg_aligned_true_2025_12_09_154240.png; figures/sim_20251209_154240_7bcd4/fdg_aligned_estimated_2025_12_09_154240.png; figures/sim_20251209_154240_7bcd4/gamma_library_2025_12_09_154240.png,Delay sweep for PBR28 and FDG with PBR scale 1.2 and FDG scale 1.0,"FDG/PBR, delay sweep, Feng AIF, frame_edges=0–120",params/sim_20251209_154240_7bcd4.csv,bc58e60844e5983f228ffb928db67d6d6ad3d0cd,"Testing new gamma basis library (version 3)
    - FDG scale = 1.0
    - PBR scale = 1.0
    - Delays: 0–50 min (1-min steps)
    Expect better unmixing around D ≈ 15 min"
sim_20251209_154433_4375a,2025-12-09 15:44:33,figures/sim_20251209_154433_4375a/nrmse_vs_delay_2025_12_09_154433.png; figures/sim_20251209_154433_4375a/tac_grid_part1_2025_12_09_154433.png; figures/sim_20251209_154433_4375a/tac_grid_part2_2025_12_09_154433.png; figures/sim_20251209_154433_4375a/tac_grid_part3_2025_12_09_154433.png; figures/sim_20251209_154433_4375a/tac_grid_part4_2025_12_09_154433.png; figures/sim_20251209_154433_4375a/tac_grid_part5_2025_12_09_154433.png; figures/sim_20251209_154433_4375a/fdg_aligned_true_2025_12_09_154433.png; figures/sim_20251209_154433_4375a/fdg_aligned_estimated_2025_12_09_154433.png; figures/sim_20251209_154433_4375a/gamma_library_2025_12_09_154433.png,Delay sweep for PBR28 and FDG with PBR scale 1.2 and FDG scale 1.0,"FDG/PBR, delay sweep, Feng AIF, frame_edges=0–120",params/sim_20251209_154433_4375a.csv,bc58e60844e5983f228ffb928db67d6d6ad3d0cd,"Testing new gamma basis library (version 3)
    - FDG scale = 1.0
    - PBR scale = 1.2
    - Delays: 0–50 min (1-min steps)
    Expect better unmixing around D ≈ 15 min"
sim_20251209_154601_fd545,2025-12-09 15:46:01,figures/sim_20251209_154601_fd545/nrmse_vs_delay_2025_12_09_154601.png; figures/sim_20251209_154601_fd545/tac_grid_part1_2025_12_09_154601.png; figures/sim_20251209_154601_fd545/tac_grid_part2_2025_12_09_154601.png; figures/sim_20251209_154601_fd545/tac_grid_part3_2025_12_09_154601.png; figures/sim_20251209_154601_fd545/tac_grid_part4_2025_12_09_154601.png; figures/sim_20251209_154601_fd545/tac_grid_part5_2025_12_09_154601.png; figures/sim_20251209_154601_fd545/fdg_aligned_true_2025_12_09_154601.png; figures/sim_20251209_154601_fd545/fdg_aligned_estimated_2025_12_09_154601.png; figures/sim_20251209_154601_fd545/gamma_library_2025_12_09_154601.png,Delay sweep for PBR28 and FDG with PBR scale 1.2 and FDG scale 1.0,"FDG/PBR, delay sweep, Feng AIF, frame_edges=0–120",params/sim_20251209_154601_fd545.csv,bc58e60844e5983f228ffb928db67d6d6ad3d0cd,"Testing new gamma basis library (version 3)
    - FDG scale = 1.0
    - PBR scale = 1.4
    - Delays: 0–50 min (1-min steps)
    Expect better unmixing around D ≈ 15 min"
sim_20251209_154730_9a3cb,2025-12-09 15:47:30,figures/sim_20251209_154730_9a3cb/nrmse_vs_delay_2025_12_09_154730.png; figures/sim_20251209_154730_9a3cb/tac_grid_part1_2025_12_09_154730.png; figures/sim_20251209_154730_9a3cb/tac_grid_part2_2025_12_09_154730.png; figures/sim_20251209_154730_9a3cb/tac_grid_part3_2025_12_09_154730.png; figures/sim_20251209_154730_9a3cb/tac_grid_part4_2025_12_09_154730.png; figures/sim_20251209_154730_9a3cb/tac_grid_part5_2025_12_09_154730.png; figures/sim_20251209_154730_9a3cb/fdg_aligned_true_2025_12_09_154730.png; figures/sim_20251209_154730_9a3cb/fdg_aligned_estimated_2025_12_09_154730.png; figures/sim_20251209_154730_9a3cb/gamma_library_2025_12_09_154730.png,Delay sweep for PBR28 and FDG with PBR scale 1.2 and FDG scale 1.0,"FDG/PBR, delay sweep, Feng AIF, frame_edges=0–120",params/sim_20251209_154730_9a3cb.csv,bc58e60844e5983f228ffb928db67d6d6ad3d0cd,"Testing new gamma basis library (version 3)
    - FDG scale = 1.0
    - PBR scale = 1.6
    - Delays: 0–50 min (1-min steps)
    Expect better unmixing around D ≈ 15 min"
sim_20251209_154912_3a9f7,2025-12-09 15:49:12,figures/sim_20251209_154912_3a9f7/nrmse_vs_delay_2025_12_09_154912.png; figures/sim_20251209_154912_3a9f7/tac_grid_part1_2025_12_09_154912.png; figures/sim_20251209_154912_3a9f7/tac_grid_part2_2025_12_09_154912.png; figures/sim_20251209_154912_3a9f7/tac_grid_part3_2025_12_09_154912.png; figures/sim_20251209_154912_3a9f7/tac_grid_part4_2025_12_09_154912.png; figures/sim_20251209_154912_3a9f7/tac_grid_part5_2025_12_09_154912.png; figures/sim_20251209_154912_3a9f7/fdg_aligned_true_2025_12_09_154912.png; figures/sim_20251209_154912_3a9f7/fdg_aligned_estimated_2025_12_09_154912.png; figures/sim_20251209_154912_3a9f7/gamma_library_2025_12_09_154912.png,Delay sweep for PBR28 and FDG with PBR scale 1.2 and FDG scale 1.0,"FDG/PBR, delay sweep, Feng AIF, frame_edges=0–120",params/sim_20251209_154912_3a9f7.csv,bc58e60844e5983f228ffb928db67d6d6ad3d0cd,"Testing new gamma basis library (version 3)
    - FDG scale = 1.0
    - PBR scale = 1.8
    - Delays: 0–50 min (1-min steps)
    Expect better unmixing around D ≈ 15 min"
sim_20251209_155034_ffd1a,2025-12-09 15:50:34,figures/sim_20251209_155034_ffd1a/nrmse_vs_delay_2025_12_09_155034.png; figures/sim_20251209_155034_ffd1a/tac_grid_part1_2025_12_09_155034.png; figures/sim_20251209_155034_ffd1a/tac_grid_part2_2025_12_09_155034.png; figures/sim_20251209_155034_ffd1a/tac_grid_part3_2025_12_09_155034.png; figures/sim_20251209_155034_ffd1a/tac_grid_part4_2025_12_09_155034.png; figures/sim_20251209_155034_ffd1a/tac_grid_part5_2025_12_09_155034.png; figures/sim_20251209_155034_ffd1a/fdg_aligned_true_2025_12_09_155034.png; figures/sim_20251209_155034_ffd1a/fdg_aligned_estimated_2025_12_09_155034.png; figures/sim_20251209_155034_ffd1a/gamma_library_2025_12_09_155034.png,Delay sweep for PBR28 and FDG with PBR scale 1.2 and FDG scale 1.0,"FDG/PBR, delay sweep, Feng AIF, frame_edges=0–120",params/sim_20251209_155034_ffd1a.csv,bc58e60844e5983f228ffb928db67d6d6ad3d0cd,"Testing new gamma basis library (version 3)
    - FDG scale = 1.0
    - PBR scale = 2.0
    - Delays: 0–50 min (1-min steps)
    Expect better unmixing around D ≈ 15 min"
